Name	NumReads	ReadsMapped	PctOnTarget	GenesMapped	GenesWithContigs	GenesWithSeqs	GenesAt25pct	GenesAt50pct	GenesAt75pct	GenesAt150pct	ParalogWarningsLong	ParalogWarningsDepth	GenesWithoutStitchedContigs	GenesWithStitchedContigs	GenesWithStitchedContigsSkipped	GenesWithChimeraWarning
SRR10244988	1767218	1350240	76.4	338	290	280	229	150	81	2	8	10	0	0	280	0
SRR10244989	1457849	1168667	80.2	334	284	277	219	114	62	1	2	11	0	0	277	0
SRR10244990	1952413	1525676	78.1	330	292	285	232	142	83	1	3	6	0	0	285	0
SRR10244991	1493747	1095474	73.3	343	283	275	221	137	77	2	6	7	0	0	275	0
SRR10244992	1822519	1409865	77.4	349	294	283	237	154	82	2	8	10	0	0	283	0
SRR10244993	3929932	3041024	77.4	360	304	294	240	145	80	3	8	39	0	0	294	0
SRR10244994	2499969	1844651	73.8	346	300	289	248	161	94	3	9	14	0	0	289	0
SRR10244995	3919759	3084226	78.7	346	302	292	243	155	89	3	8	19	0	0	292	0
SRR10244996	301304789	1700817	0.6	392	387	376	333	178	84	5	4	11	0	0	376	0
SRR10244997	204408	81265	39.8	298	115	103	48	5	0	0	1	1	0	0	103	0
SRR10244998	3350344	2406999	71.8	343	303	294	259	168	100	3	9	11	0	0	294	0
SRR10244999	2490945	1964776	78.9	344	295	287	241	158	83	3	5	7	0	0	287	0
SRR10245000	4896731	3671747	75.0	355	311	296	248	162	88	3	15	24	0	0	296	0
SRR10245001	2560709	1695049	66.2	349	297	290	254	176	108	3	10	11	0	0	290	0
SRR10245002	3620565	2443829	67.5	347	302	290	256	173	110	3	12	16	0	0	290	0
SRR10245003	1256912	891833	71.0	330	287	277	237	157	80	4	9	9	0	0	277	0
SRR10245004	2381953	1840196	77.3	348	295	284	221	138	71	2	4	20	0	0	284	0
SRR10245005	1097680	820885	74.8	319	274	269	222	143	82	3	7	10	0	0	269	0
SRR10245006	2476655	1674679	67.6	352	300	285	230	138	80	1	8	17	0	0	285	0
SRR10245007	2402375	1630500	67.9	353	300	289	248	163	93	2	8	15	0	0	289	0
SRR10245008	2611415	1554249	59.5	350	300	291	242	145	72	2	23	34	0	0	291	0
SRR10245009	4005839	2988384	74.6	352	308	299	252	158	87	4	9	16	0	0	299	0
SRR10245010	3044292	2076965	68.2	361	303	294	248	146	71	4	16	28	0	0	294	0
SRR10245011	3765804	2458378	65.3	352	303	284	217	107	53	1	14	49	0	0	284	0
SRR10245012	3239415	2149383	66.4	356	308	293	242	150	84	2	14	16	0	0	293	0
SRR10245013	1740649	1209707	69.5	349	295	285	233	150	87	3	6	11	0	0	285	0
SRR10245014	5419710	4264436	78.7	366	306	295	239	129	57	2	12	79	0	0	295	0
SRR10245015	2304902	1688565	73.3	348	297	287	237	146	79	2	11	13	0	0	287	0
SRR10245016	260748301	37838689	14.5	386	372	364	305	145	61	4	2	3	0	0	364	0
SRR10245017	1126034	839677	74.6	327	281	272	226	147	81	3	6	11	0	0	272	0
SRR10245018	3609178	2787864	77.2	345	299	290	247	160	90	3	9	19	0	0	290	0
SRR10245019	2347727	1817855	77.4	340	293	286	237	153	90	2	2	5	0	0	286	0
SRR10245020	1424023	1193392	83.8	338	289	281	230	132	69	1	4	11	0	0	281	0
SRR10245021	3173291	2498615	78.7	356	298	290	239	155	85	2	5	12	0	0	290	0
SRR10245022	2478201	1919023	77.4	342	298	286	222	126	62	0	7	49	0	0	286	0
SRR10245023	5411625	4108372	75.9	360	309	297	251	163	93	4	6	22	0	0	297	0
