Name	NumReads	ReadsMapped	PctOnTarget	GenesMapped	GenesWithContigs	GenesWithSeqs	GenesAt25pct	GenesAt50pct	GenesAt75pct	GenesAt150pct	ParalogWarningsLong	ParalogWarningsDepth	GenesWithoutStitchedContigs	GenesWithStitchedContigs	GenesWithStitchedContigsSkipped	GenesWithChimeraWarning
SRR10244988	1767218	1442033	81.6	261	233	222	195	139	88	0	6	6	0	0	222	0
SRR10244989	1457849	1280668	87.8	269	233	219	187	126	77	0	1	12	0	0	219	0
SRR10244990	1952413	1656237	84.8	262	238	226	196	139	92	0	3	6	0	0	226	0
SRR10244991	1493747	1179672	79.0	272	231	220	195	135	86	0	2	2	0	0	220	0
SRR10244992	1822519	1503370	82.5	274	243	230	201	136	92	1	6	5	0	0	230	0
SRR10244993	3929932	3319199	84.5	290	246	237	209	131	70	0	7	38	0	0	237	0
SRR10244994	2499969	1970425	78.8	286	243	231	209	146	97	0	3	8	0	0	231	0
SRR10244995	3919759	3333203	85.0	284	246	236	212	137	90	0	4	14	0	0	236	0
SRR10244996	301304789	49219152	16.3	366	329	245	195	110	52	0	6	8	0	0	245	0
SRR10244997	204408	82519	40.4	244	114	101	59	15	2	0	0	0	0	0	101	0
SRR10244998	3350344	2582629	77.1	285	247	235	209	142	91	0	5	7	0	0	235	0
SRR10244999	2490945	2104427	84.5	272	241	229	203	139	88	0	2	6	0	0	229	0
SRR10245000	4896731	3997797	81.6	281	250	232	197	131	77	1	11	22	0	0	232	0
SRR10245001	2560709	1814434	70.9	272	233	223	204	147	103	1	6	7	0	0	223	0
SRR10245002	3620565	2627028	72.6	274	241	228	204	143	103	1	8	10	0	0	228	0
SRR10245003	1256912	967785	77.0	267	233	221	197	138	87	0	5	7	0	0	221	0
SRR10245004	2381953	2006200	84.2	274	240	225	192	131	82	0	3	8	0	0	225	0
SRR10245005	1097680	867084	79.0	259	229	219	196	138	91	0	4	5	0	0	219	0
SRR10245006	2476655	1920796	77.6	276	239	225	197	136	85	0	6	12	0	0	225	0
SRR10245007	2402375	1763355	73.4	287	237	229	209	141	91	1	5	7	0	0	229	0
SRR10245008	2611415	1837432	70.4	283	244	232	206	125	74	0	22	32	0	0	232	0
SRR10245009	4005839	3231277	80.7	295	249	233	203	138	81	1	5	14	0	0	233	0
SRR10245010	3044292	2418268	79.4	289	244	231	199	137	80	1	16	27	0	0	231	0
SRR10245011	3765804	3070384	81.5	293	246	232	202	112	55	0	12	45	0	0	232	0
SRR10245012	3239415	2456241	75.8	293	248	233	203	141	89	1	10	12	0	0	233	0
SRR10245013	1740649	1320887	75.9	281	234	220	198	139	93	1	5	6	0	0	220	0
SRR10245014	5419710	4641448	85.6	299	248	238	202	106	49	1	9	73	0	0	238	0
SRR10245015	2304902	1884633	81.8	278	243	228	194	136	88	1	8	13	0	0	228	0
SRR10245016	260748301	72304000	27.7	364	311	226	184	103	50	0	0	0	0	0	226	0
SRR10245017	1126034	893497	79.3	266	232	223	202	140	88	1	1	8	0	0	223	0
