Name	NumReads	ReadsMapped	PctOnTarget	GenesMapped	GenesWithContigs	GenesWithSeqs	GenesAt25pct	GenesAt50pct	GenesAt75pct	GenesAt150pct	ParalogWarningsLong	ParalogWarningsDepth	GenesWithoutStitchedContigs	GenesWithStitchedContigs	GenesWithStitchedContigsSkipped	GenesWithChimeraWarning
SRR10244988	1767218	735366	41.6	323	291	290	262	196	135	8	6	7	0	0	290	0
SRR10244989	1457849	589521	40.4	321	290	289	246	156	88	5	0	7	0	0	289	0
SRR10244990	1952413	801917	41.1	326	299	298	269	199	125	6	2	3	0	0	298	0
SRR10244991	1493747	590031	39.5	327	292	291	256	190	114	8	4	8	0	0	291	0
SRR10244992	1822519	761741	41.8	335	297	295	275	210	133	8	7	7	0	0	295	0
SRR10244993	3929932	1589194	40.4	344	306	305	278	202	121	4	5	21	0	0	305	0
SRR10244994	2499969	1033350	41.3	336	302	301	280	228	147	8	6	6	0	0	301	0
SRR10244995	3919759	1628897	41.6	335	304	303	285	211	137	7	5	8	0	0	303	0
SRR10244996	301304789	1052438	0.3	388	386	384	374	263	163	5	5	25	0	0	384	0
SRR10244997	204408	45242	22.1	265	107	103	52	7	1	0	0	0	0	0	103	0
SRR10244998	3350344	1350229	40.3	334	305	303	287	228	155	8	3	6	0	0	303	0
SRR10244999	2490945	1034503	41.5	329	302	300	279	209	137	8	3	4	0	0	300	0
SRR10245000	4896731	1960914	40.0	344	309	307	287	213	129	8	5	9	0	0	307	0
SRR10245001	2560709	1005528	39.3	337	304	303	287	242	179	16	5	7	0	0	303	0
SRR10245002	3620565	1442414	39.8	348	302	300	286	241	170	11	4	9	0	0	300	0
SRR10245003	1256912	501789	39.9	330	296	294	273	207	137	8	3	3	0	0	294	0
SRR10245004	2381953	959887	40.3	334	300	299	264	192	105	7	2	9	0	0	299	0
SRR10245005	1097680	473811	43.2	319	283	280	253	194	123	7	3	4	0	0	280	0
SRR10245006	2476655	886344	35.8	332	301	298	270	193	122	7	6	10	0	0	298	0
SRR10245007	2402375	952890	39.7	335	301	299	280	225	157	6	1	6	0	0	299	0
SRR10245008	2611415	863040	33.0	333	308	307	278	205	119	7	6	14	0	0	307	0
