Species	AT3G59040	5434	6450	KT377126.1	4724	5138	6882	TC00G047210	7296	5849	6447	4793	5064	TC06G020780	5449	5634	4890	6506	7333	5536	5614	5968	AT3G56460	TC05G022880	6875	TC09G007890	5206	5664	5421	5460	5656	AT2G35790	AT1G48520	6854	5936	AT5G21070	AT5G57930	6550	5703	7367	6601	6705	6226	5815	6114	6265	AT5G13630	7174	6791	6412	5843	TC02G003400	7273	6483	6792	6072	4757	6238	6848	TC03G002530	5273	5318	5513	AT3G53700	TC03G028600	4806	5469	6282	5427	TC02G003180	6893	4802	6636	4796	5339	5981	5355	6130	7029	5926	TC01G040040	7602	5220	5699	5644	5596	AT3G26782	5941	6978	6387	TC04G028160	6378	AT3G56940	TC04G015820	6110	5933	6914	5260	5489	TC03G023900	5428	5802	6320	7583	AT3G04880	6492	6494	TC09G010970	6366	TC09G026260	AT3G46610	6041	NM_148067.4	AT5G06830	AT4G15420	4932	6379	5945	5454	TC02G026940	6459	6420	7128	AT2G43030	TC04G019470	TC01G019250	6979	AT5G50280	AT5G13030	6050	6407	5531	TC04G030490	TC03G025580	5090	TC07G000500	TC09G004790	6865	7324	6363	5296	6797	7279	6164	6270	6532	AT5G60590	AT5G02860	5463	6128	TC00G083870	TC06G016050	6909	5949	7572	5940	7141	7135	6488	AT1G63680	6439	4848	5123	TC01G019030	6732	AT2G01650	5328	AT1G65380	5716	6733	6825	AT4G38890	6785	NM_113708.2	5333	6667	5859	5264	TC02G006310	6557	TC05G024510	TC01G002420	TC04G006100	TC01G021540	6398	6119	AT4G33945	TC05G029300	6406	KT377078.1	5913	5702	5032	5188	AT1G02020	4942	TC09G017950	7136	6460	5104	5919	5960	5177	6064	KT377086.1	6004	6552	6954	6540	5866	7628	6430	AT2G33630	AJ133743.1	5990	6448	AT4G00740	KT377110.1	AT1G31780	6527	6198	6507	6782	5842	6913	AT2G31240	TC04G026920	6056	TC09G034320	6955	AT3G02760	4691	4471	AT1G17160	6969	6977	5366	6924	5918	5578	6947	TC05G008010	6051	6779	TC09G025650	5554	7331	6383	6148	7336	NM_179236.3	KT377118.1	TC02G004290	5343	KT377094.1	5816	6000	5347	5116	5733	6048	AT5G55960	5980	6401	TC03G001430	6457	6405	6544	6393	AT3G54690	5326	AT2G44660	5821	6962	6500	AT5G13520	5398	TC01G032610	7325	6533	6150	6318	TC02G023190	KT377102.1	5791	TC02G009310	AT3G10150	6036	AT2G35130	AT5G23940	5477	6933	6221	5639	6563	TC09G026350	6538	6034	7194	7371	TC05G005750	5335	TC09G009480	6531	6274	6946	5354	TC03G012430	6883	AT5G64370	7577	4951	6641	TC08G013000	TC06G006880	5977	4889	4744	6620	TC02G024400	AT3G54090	5958	5772	5893	6631	5034	5942	6565	NM_001198514.1	7241	TC07G011130	7111	6639	5163	6860	6958	5594	5271	5660	6216	AT5G67530	NM_124699.3	5770	7363	7024	TC05G003200	TC07G000920	AT1G52310	6227	AT3G24190	6299	6528	AT5G13400	5348	7021	5841	TC03G010340	5599	7028	TC01G033670	TC01G005310	5406	5464	KT377070.1	6995	TC04G030670	TC06G011670	6780	6713	5426	AT5G08530	6864	5162	5910	TC05G027690	5865	4992	6487	6139	6859	AT5G40440	AT4G39520	TC01G007130	6679
MeanLength	1731.5	412.0	1158.0	582.0	320.5	528.0	471.0	1120.0	273.0	289.6666666666667	438.0	1245.0	216.0	1550.0	547.6666666666666	669.0	283.3333333333333	513.0	333.5	375.0	1635.0	492.0	1030.0	539.5	274.5	1517.5	367.0	957.0	547.5	390.0	168.0	552.0	765.5	492.5	533.0	740.5	1239.0	328.0	915.0	309.0	660.0	202.0	1011.0	463.0	567.0	579.0	4082.0	1425.0	456.0	606.0	244.5	1723.0	438.0	747.0	545.5	654.0	405.0	1074.0	453.0	776.0	978.0	375.5	801.0	883.0	937.5	549.0	367.6666666666667	334.5	484.0	1173.0	321.0	417.5	627.0	933.0	636.6666666666666	837.0	300.0	453.0	511.5	372.0	849.5	678.0	335.3333333333333	324.25	429.6666666666667	954.6666666666666	1416.0	296.0	678.0	810.0	993.5	1038.0	920.0	1968.5	342.0	446.0	441.5	282.0	545.5	601.0	558.0	270.0	1314.0	303.0	1071.5	406.5	577.0	555.3333333333334	645.0	657.5	1570.5	685.0	519.5	1253.5	1620.5	618.6666666666666	291.0	457.0	744.5	1676.5	510.0	391.3333333333333	709.5	631.0	639.0	1605.5	813.0	2055.5	1387.0	750.0	408.0	396.0	854.0	1129.0	498.0	1154.0	745.0	452.5	357.5	1173.0	1053.0	477.0	912.0	351.0	405.0	258.0	902.5	1948.0	332.3333333333333	765.0	2419.5	532.6666666666666	346.3333333333333	546.0	349.3333333333333	822.0	675.0	406.5	678.0	1916.5	341.0	912.5	768.0	450.0	408.0	1460.0	334.3333333333333	956.5	1057.0	390.0	429.0	1192.5	315.0	447.0	1848.0	449.5	510.0	782.0	740.5	312.0	1642.5	1181.0	1190.5	672.6666666666666	363.0	1465.0	693.5	1956.0	909.0	608.5	1188.0	435.0	570.0	374.0	1701.0	384.0	1755.0	462.0	525.3333333333334	417.0	527.5	768.0	408.5	645.0	543.0	328.0	675.0	666.0	615.0	252.0	510.0	342.0	1674.5	1121.0	276.0	517.0	1410.0	302.5	1002.5	636.5	237.66666666666666	309.0	252.5	954.0	523.0	1683.5	572.0	685.5	1981.5	336.0	2236.0	546.0	828.0	743.5	270.0	474.0	593.5	1197.0	738.0	198.0	1272.0	2250.5	652.6666666666666	714.0	830.0	523.5	834.0	831.0	456.0	456.0	3172.5	594.3333333333334	806.5	457.5	558.0	885.5	433.0	219.0	476.0	573.0	288.0	1509.0	505.0	525.0	963.5	519.0	1101.0	996.3333333333334	636.0	893.0	775.6666666666666	1090.5	507.0	480.0	1404.0	1640.0	612.3333333333334	1042.0	285.0	458.0	522.0	656.6666666666666	1320.0	411.3333333333333	687.0	700.0	893.5	724.75	1581.5	996.3333333333334	656.6666666666666	513.0	519.0	416.5	552.3333333333334	1038.0	597.0	339.0	408.0	231.0	805.0	876.0	1350.0	331.6666666666667	355.0	270.0	453.0	1358.0	363.0	1845.3333333333333	447.0	570.0	292.6666666666667	998.0	1325.5	600.0	405.0	258.0	342.0	1322.5	1163.5	245.0	621.0	282.6666666666667	801.0	377.0	422.6666666666667	318.5	2248.5	570.0	548.5	501.0	319.0	652.0	336.0	576.0	648.0	591.0	516.0	948.0	1347.0	223.5	1059.0	516.0	300.0	677.5	749.3333333333334	1748.0	701.5	1474.5	432.0	361.3333333333333	1844.5	522.0	433.0	489.5	671.5	1689.0	516.0	931.0	779.5	969.3333333333334	930.0	466.75	228.0	952.5	708.0	372.0	957.0	652.5	1663.5	444.0	800.0	693.0	997.0	1377.0	1096.5	594.75	409.6666666666667	942.0	1054.0	983.0	1344.0	642.0
SRR10244988	975	324	0	0	168	279	0	0	0	156	219	189	0	327	189	0	0	0	258	0	0	75	483	696	0	1101	174	0	0	0	0	651	720	114	381	951	825	150	0	0	159	0	0	0	0	0	4254	234	0	0	0	1821	90	0	0	0	177	0	0	816	0	0	135	1287	423	0	153	198	174	582	0	114	0	0	129	0	0	0	141	159	909	0	192	384	213	552	1110	213	0	0	954	162	549	1866	0	189	138	0	0	720	0	0	150	0	1029	288	234	405	0	534	1071	174	360	1410	1872	477	0	240	738	1512	207	312	99	264	726	1869	0	1272	915	0	114	0	1173	1362	0	918	636	111	0	468	0	96	0	0	0	0	285	1920	186	0	0	501	171	0	168	0	0	0	135	2004	180	537	123	303	0	1197	288	0	150	0	0	1281	0	108	0	147	222	105	747	0	1740	1314	642	273	180	240	387	2088	0	138	0	0	0	0	1698	177	1983	279	288	0	549	0	0	0	255	180	0	0	0	0	0	0	1851	954	0	78	1458	156	987	177	0	0	0	0	141	1566	591	0	2094	0	2556	312	186	693	0	162	96	0	0	0	0	1662	504	0	585	144	0	0	0	0	1554	150	873	432	360	0	0	0	180	0	0	1518	207	0	849	0	0	243	0	606	396	657	0	0	0	1098	360	492	0	120	0	0	909	159	0	384	531	282	1932	996	621	0	0	258	315	1047	0	0	120	0	1176	0	810	147	105	0	0	1218	0	945	0	0	183	1035	1242	0	0	0	279	1245	1284	189	0	165	0	0	327	0	2154	0	675	0	0	228	156	0	0	195	0	0	1287	0	0	0	0	696	525	1875	576	1560	0	204	2070	0	141	165	861	0	225	405	687	255	0	273	0	822	747	0	0	501	1668	0	0	159	756	0	267	156	231	267	897	1092	1407	0
SRR10244989	975	324	0	162	168	0	0	0	0	156	159	189	0	339	189	0	0	0	258	0	0	144	1170	426	0	1029	174	0	0	0	0	651	645	114	102	951	825	150	0	0	159	0	0	0	0	0	4263	0	0	0	0	1821	153	0	0	0	177	0	0	549	0	0	135	1287	882	0	153	198	0	609	0	114	0	0	129	0	0	0	141	159	909	0	195	384	213	552	1653	213	0	0	954	162	417	777	0	0	135	0	0	720	0	0	156	0	966	63	234	405	0	534	414	162	360	1413	1854	477	0	0	519	1512	207	312	96	261	693	1869	231	1272	630	0	114	0	1056	1311	0	891	402	132	0	180	0	72	0	0	0	0	261	1725	186	0	405	522	171	0	168	0	216	0	0	2004	114	150	123	303	0	948	288	0	150	0	0	1281	0	108	0	147	222	147	753	0	1740	1314	783	279	180	240	387	2010	0	138	0	0	0	0	414	177	1983	279	288	0	549	0	0	0	255	180	0	0	0	0	0	0	1851	954	0	234	1458	156	573	177	0	0	0	0	141	1398	0	0	2094	0	1845	273	120	693	0	78	96	0	0	0	0	723	504	171	585	144	0	0	0	0	1554	0	873	420	360	0	0	0	180	0	0	1518	129	0	849	0	0	156	0	606	396	624	0	0	0	873	360	450	0	120	0	0	909	159	0	384	528	282	1398	987	534	0	0	258	315	768	0	0	135	0	600	0	597	147	105	0	0	1191	0	948	0	0	183	1035	1242	0	0	0	279	1245	1278	192	0	162	0	0	327	0	1749	0	579	0	0	192	141	0	0	162	0	0	1272	0	0	0	0	696	525	1845	249	1560	0	204	1668	0	126	165	861	0	198	558	687	240	102	273	0	822	747	0	0	303	1668	0	0	0	756	0	267	156	231	153	897	504	1296	0
SRR10244990	960	324	0	162	168	0	0	0	0	156	159	186	0	0	189	0	0	0	258	0	0	144	1167	696	0	1002	174	0	0	0	0	651	723	165	243	951	825	150	0	0	159	0	0	0	0	0	4260	159	0	0	0	1824	90	102	0	0	177	0	0	777	282	0	135	1287	882	0	153	198	156	609	0	114	0	0	129	0	0	0	141	159	909	0	192	288	213	552	1653	213	0	0	954	162	363	1866	0	0	138	0	0	645	0	0	147	0	1029	282	234	405	0	534	1731	174	408	1413	1872	477	0	177	654	1512	207	312	96	264	726	1869	0	1272	879	108	114	0	1182	1362	0	918	570	234	0	231	0	93	0	0	0	0	285	2100	186	552	0	522	171	0	168	0	219	0	0	2004	174	150	123	303	0	1200	288	783	150	0	0	1281	0	99	0	147	222	123	747	0	1704	1317	504	279	246	240	384	2088	0	138	0	0	0	0	1671	177	1983	264	288	0	549	0	0	0	255	180	0	0	0	0	0	0	1854	954	0	258	1458	156	987	177	0	0	0	0	141	1632	558	0	2121	0	2304	0	207	684	0	165	96	0	0	0	0	1122	504	0	585	144	0	0	0	0	1557	318	882	432	360	69	0	0	180	0	0	1518	213	0	711	0	0	243	0	606	396	672	0	0	0	1515	360	492	0	120	0	0	909	159	0	399	528	282	1854	996	549	0	0	258	318	1047	0	0	135	0	1083	129	810	147	0	0	0	1278	0	924	0	0	183	1035	1242	0	0	0	279	1245	1284	186	0	165	0	0	327	0	2154	0	663	0	78	228	162	0	0	159	0	171	1290	0	0	0	0	618	525	1878	528	1566	0	204	2070	0	141	165	864	0	177	480	687	240	0	273	0	825	747	0	0	303	1674	0	0	0	756	0	267	156	231	132	900	1089	1407	0
SRR10244991	978	324	0	162	168	0	0	0	0	156	0	189	0	441	189	0	0	0	258	0	0	0	780	696	0	1044	174	0	0	0	0	651	723	114	99	951	825	150	0	0	159	0	0	0	0	0	4257	306	0	0	0	1818	90	0	0	0	177	0	0	684	0	0	135	1287	855	0	153	198	168	591	0	114	0	0	129	0	0	0	141	159	906	0	195	384	213	552	1653	213	0	0	954	162	420	1866	0	189	138	0	0	720	0	0	0	0	1029	288	234	405	0	534	933	174	360	1413	1872	477	0	138	300	1512	207	312	96	246	726	1869	0	1263	879	0	0	0	1140	1362	0	918	573	132	0	120	0	159	0	0	0	0	285	1890	186	0	0	519	171	0	168	0	222	0	0	2004	174	150	123	303	0	1200	288	207	150	120	0	1281	0	99	0	147	549	288	753	0	1740	1314	1140	279	246	240	387	2082	0	138	0	0	0	0	1698	177	1983	279	288	0	549	0	0	0	255	180	0	0	0	0	0	0	1290	954	0	111	1455	156	573	177	0	0	0	0	141	1578	534	0	2094	0	1845	273	120	693	0	141	96	0	0	0	0	1602	504	252	585	144	0	0	0	0	1554	297	873	432	360	0	0	0	177	0	0	1518	213	0	849	0	0	156	0	546	396	663	0	0	0	1515	360	492	0	120	0	0	909	159	0	384	528	270	1392	996	534	0	0	258	318	1047	0	0	135	0	1176	0	660	147	105	0	0	1224	0	927	0	0	183	1035	1239	0	0	0	279	1245	846	150	0	165	0	0	327	0	2154	0	660	0	0	228	156	0	0	156	0	0	1287	0	0	0	0	696	525	1866	270	1578	0	204	1983	0	120	165	861	0	225	648	687	240	0	273	0	825	498	0	0	303	1623	0	0	0	756	0	267	156	231	180	855	1086	1299	0
SRR10244992	672	324	0	162	168	327	0	0	0	156	216	189	0	411	189	0	0	0	258	0	132	150	1167	696	0	1209	174	0	0	0	0	651	723	0	102	951	825	150	0	0	159	0	0	0	0	0	4257	273	0	0	0	1818	90	0	0	0	177	0	0	798	0	0	135	1287	882	0	153	198	165	591	0	114	0	0	129	0	0	0	141	159	909	0	195	384	213	552	1644	213	0	0	954	189	543	1839	0	189	138	0	0	750	0	0	0	0	1029	81	234	405	0	531	216	174	507	1413	1860	477	0	138	738	1512	207	312	96	246	726	1869	0	1272	879	0	267	0	1164	1362	0	918	636	123	0	237	0	180	0	0	0	0	285	1941	186	0	0	519	171	0	168	0	204	0	0	2013	174	150	123	303	0	1197	288	0	180	0	0	1281	0	0	0	147	222	141	837	0	1740	1314	684	279	378	459	387	2088	0	138	0	0	0	0	1698	174	1983	279	288	0	549	0	0	0	255	180	0	0	0	0	0	0	720	954	0	183	1458	156	987	177	0	0	0	0	141	1578	756	0	2094	0	2361	273	282	693	0	189	96	195	0	0	0	1647	504	171	585	144	0	0	0	0	1554	0	459	432	360	0	288	0	180	0	0	1518	213	0	849	0	0	243	0	606	396	663	234	0	0	1131	258	492	201	120	0	0	1470	159	87	384	528	282	1932	996	534	0	0	258	315	1047	0	0	135	0	1290	111	810	147	105	0	0	1305	0	468	0	0	183	1035	1242	0	0	0	279	1245	1281	189	0	165	0	0	327	0	2154	0	675	0	78	228	156	0	0	180	0	174	1287	0	0	0	0	696	525	1881	591	1560	0	204	2070	0	141	165	861	0	219	972	684	255	102	273	0	825	690	0	0	303	1668	0	0	165	756	0	267	156	231	267	903	1089	1407	0
SRR10244993	720	276	0	0	168	0	0	0	0	156	216	0	0	384	189	0	135	0	258	0	0	144	342	696	0	1635	174	0	0	0	0	600	441	114	384	540	705	159	0	0	198	0	0	0	0	0	4239	342	0	0	0	945	90	243	150	0	177	0	0	804	267	228	108	378	561	0	153	198	174	591	0	135	0	0	129	0	0	243	141	159	909	0	195	291	213	552	357	213	0	0	954	201	321	1866	0	0	138	0	0	720	0	0	147	0	999	288	234	405	0	534	1719	174	360	1440	510	477	0	0	543	741	171	312	105	264	726	1869	285	1533	426	108	267	0	1182	1383	0	795	633	132	0	0	0	123	0	0	0	0	219	2100	186	0	72	522	108	0	168	0	225	162	135	2004	174	330	123	300	0	1422	288	783	150	0	0	723	0	183	0	147	222	129	753	0	1740	465	576	279	231	459	387	384	0	0	0	0	0	162	711	180	1491	279	288	0	549	0	0	0	255	180	0	0	0	0	0	0	1281	966	0	273	492	156	987	177	0	0	0	0	141	897	588	186	2094	0	1161	399	282	693	0	123	96	0	0	0	0	1662	285	225	585	144	0	0	0	0	1557	114	891	432	357	126	210	0	180	0	0	1518	213	0	846	0	0	153	0	606	396	672	0	0	0	1008	360	258	234	120	0	0	909	159	0	726	900	282	1932	972	624	0	0	258	318	1047	0	0	120	0	1056	213	810	147	0	0	0	1296	0	1302	0	0	183	1035	1218	0	0	0	279	1245	711	180	0	165	0	0	327	0	2154	0	672	0	78	228	156	0	0	162	0	171	1278	0	0	0	0	696	525	558	591	1113	0	204	2070	0	141	165	843	111	192	972	429	255	0	273	0	825	747	0	0	354	513	0	0	264	756	0	267	156	231	135	894	660	1407	0
SRR10244994	1035	324	0	0	165	0	0	0	0	156	219	0	0	0	189	0	0	0	258	0	0	144	1161	696	0	1635	174	0	0	159	0	651	723	114	384	951	1164	159	0	0	159	0	0	0	0	0	2244	165	0	0	0	1791	153	234	150	0	177	0	0	912	228	336	135	1287	837	0	153	198	189	504	0	135	0	0	129	0	0	264	141	159	909	0	195	384	213	552	1653	213	0	0	954	213	891	1866	0	0	138	0	0	720	0	0	156	0	1026	288	234	405	0	534	1683	174	507	1440	1068	477	0	0	648	1512	207	312	0	264	726	1869	267	1986	1131	105	114	0	1149	1383	0	450	633	132	0	0	0	180	0	0	0	0	213	2100	186	0	0	522	171	0	168	0	219	0	150	2004	174	141	123	300	0	1422	288	783	150	0	0	1260	0	183	0	147	555	123	756	0	1737	1305	582	279	378	459	684	2067	0	0	0	0	0	111	1752	180	1746	279	288	0	549	0	0	0	255	180	0	0	0	0	0	0	681	966	0	273	1458	156	987	177	0	0	0	0	276	1725	558	0	2094	0	2556	393	282	693	0	141	96	0	0	0	0	1662	504	273	585	144	0	0	0	0	1557	318	531	432	357	150	255	0	180	0	0	1518	213	0	846	0	0	243	0	942	300	672	0	0	0	1515	360	492	204	117	0	0	1467	159	0	384	534	282	1920	972	624	0	0	258	318	1047	0	0	165	0	1203	300	807	147	0	0	0	1305	0	900	0	0	183	591	1245	0	0	0	279	1245	1287	183	0	165	0	0	327	0	2154	0	672	0	0	228	156	0	0	162	0	171	1290	0	0	0	0	696	525	1881	591	1560	0	204	2064	0	141	165	843	120	288	657	687	435	0	273	0	825	747	0	0	501	1677	0	0	351	756	0	267	156	231	132	747	1086	1407	0
SRR10244995	717	324	0	0	165	0	0	0	0	156	219	0	0	366	189	0	0	0	258	0	0	144	414	696	0	1176	174	0	0	111	0	651	639	114	207	945	825	159	0	0	192	0	0	0	0	0	4239	264	0	0	0	1026	90	294	150	0	177	0	0	828	267	162	135	1287	903	0	153	198	183	591	0	135	0	0	129	0	0	291	141	159	909	0	195	384	213	552	1653	213	0	0	954	174	897	1866	0	0	138	0	0	720	0	0	150	0	1029	288	234	405	0	354	1719	174	360	1440	606	477	0	0	513	1512	207	312	105	264	726	1869	279	1479	996	0	114	0	1182	1383	0	918	633	132	0	156	0	189	0	0	0	0	285	2043	186	0	153	522	171	0	168	0	210	162	135	2004	174	513	123	300	0	1422	288	783	150	0	192	828	0	183	0	147	222	135	756	0	1737	660	456	279	246	459	285	2091	0	0	0	0	0	0	1752	180	1905	279	288	0	549	0	0	0	255	180	0	0	0	0	0	0	636	966	0	297	1458	156	987	177	0	0	0	0	276	1611	783	186	2094	0	2556	468	282	693	0	159	96	0	0	0	0	1557	222	252	585	144	0	0	0	0	1557	294	882	432	357	186	228	0	180	0	0	1518	213	0	846	0	0	243	0	606	396	672	0	0	0	1515	360	492	234	120	0	0	1467	159	0	603	795	282	1932	960	534	0	0	258	318	1047	0	0	135	0	1098	111	810	147	0	0	0	1290	0	900	0	0	183	1041	1218	0	0	0	279	1245	1287	192	0	165	0	0	327	0	2154	0	672	0	78	228	156	0	0	195	0	171	1290	0	0	0	0	696	525	1884	558	1560	0	204	2070	0	141	165	843	0	225	972	687	240	0	273	0	825	747	0	0	234	780	0	0	183	756	0	267	156	231	120	894	915	1407	0
SRR10244996	789	324	0	168	168	0	0	228	0	156	180	171	0	294	189	0	0	0	258	0	138	78	201	426	0	879	174	0	0	0	0	651	588	114	99	375	696	150	144	0	159	0	0	0	0	0	2154	225	0	0	0	711	0	0	150	0	177	0	0	402	240	108	135	1182	387	0	153	198	0	591	0	114	0	0	291	0	0	156	141	159	729	135	195	0	213	552	1233	213	186	0	954	162	381	1356	0	0	138	0	0	720	0	0	144	0	1005	381	234	405	0	393	273	174	408	858	1395	390	0	132	288	1338	207	306	96	243	555	1875	0	1290	531	108	78	72	798	561	0	918	405	132	0	120	0	72	168	0	0	0	180	954	186	0	414	522	171	0	168	0	216	0	93	1353	114	243	123	300	0	1011	159	0	150	0	135	432	0	108	267	249	180	291	747	0	786	1314	537	279	180	630	387	1023	0	0	0	0	0	300	369	177	1365	87	288	0	549	123	0	201	255	180	0	240	0	0	0	0	1293	954	0	114	1458	156	483	177	0	0	0	0	141	933	462	0	1122	0	1362	237	120	603	0	78	126	0	0	0	0	1134	285	171	585	144	0	0	0	0	1557	168	579	432	264	126	0	0	180	0	0	1518	129	0	717	0	0	156	0	528	396	669	0	0	0	390	258	492	147	240	0	0	477	159	0	384	225	282	708	975	396	0	0	258	318	792	0	0	0	0	492	111	585	144	105	0	0	1080	0	315	174	0	183	588	1134	0	0	0	282	1230	708	174	0	165	0	96	327	0	630	0	645	0	99	228	156	0	0	141	0	99	1293	0	0	0	0	531	525	0	177	738	0	204	1545	0	141	156	864	0	225	972	687	240	153	273	0	825	594	0	0	303	1668	0	0	174	756	0	423	348	231	114	624	432	1368	138
