Species	5919	TC03G023900	6036	AT4G00740	AT1G65380	5513	5941	5434	5427	5842	5162	TC03G025580	6000	4744	5366	4691	5032	5463	4932	AT3G46610	6528	outlier014	6056	6679	TC02G003180	5421	6705	6447	6320	6450	TC00G047210	AT3G56460	7028	6955	outlier009	5699	7273	6265	5960	4802	KT377094.1	5933	6924	KT377102.1	5271	TC01G019030	6430	TC09G025650	5926	6164	outlier007	5554	TC00G083870	4889	AT4G15420	5958	6865	7367	5918	TC02G023190	4796	outlier002	NM_148067.4	TC05G024510	7572	TC02G026940	5857	5333	5716	5990	6713	4942	5664	5703	AT2G31240	5870	outlier013	outlier010	AT2G01650	TC03G012430	AT5G50280	5702	5536	TC09G026350	TC09G004790	5913	5791	AT1G48520	6785	AT5G13030	6552	AT1G63680	6130	5328	6401	6544	6527	AT3G02760	6238	7296	7333	AT2G33630	AT5G55960	6825	AT4G38890	5354	5849	5772	AT3G04880	5460	TC01G019250	TC02G024400	TC05G008010	6284	4992	AT4G39520	6221	5398	7141	6995	6420	NM_124699.3	5614	5318	TC02G006310	TC01G007130	AT4G33945	6636	6405	5489	5841	5977	TC09G034320	6487	7577	6406	TC01G021540	5949	6570	5578	7024	6387	TC03G010340	TC09G009480	6110	6114	5177	4757	TC09G017950	6139	6072	TC06G011670	5816	TC09G010970	6216	6048	5206	6041	6270	6274	6064	6979	5138	6226	4724	6494	6507	7135	TC05G005750	TC03G002530	6641	6448	7336	6779	6962	5940	6004	AT5G21070	TC02G009310	outlier008	6733	6620	5406	5296	6782	6459	6492	TC03G028600	6565	5034	6913	NM_113708.2	6631	4793	6909	6875	6383	TC06G016050	AT2G35130	4848	6540	6667	6500	6947	TC05G029300	5942	5426	6893	AT2G35790	5945	5343	outlier011	AT3G54090	5910	5644	6175	AT5G13520	7174	6958	5104	5968	AT3G54690	6318	AT1G52310	6198	5936	6412	5596	AT3G26782	5428	5469	TC05G022880	6563	TC08G013000	5802	TC03G001430	outlier006	TC04G028160	6363	TC01G005310	6034	6148	6439	TC05G027690	6488	5347	5260	5273	7241	AT3G59040	KT377070.1	AT5G02860	AT5G23940	outlier003	6050	6557	6797	6532	7111	6933	5656	6299	5188	5865	6051	6407	KT377118.1	6601	AT1G02020	6859	4954	TC04G026920	5449	AT3G10150	6914	6098	AT5G57930	4471	AT5G40440	TC04G030490	6864	outlier005	AT3G53700	6150	6732	5843	TC04G030670	6883	5599	AJ133743.1	AT5G13630	6978	6378	5348	7279	6531	TC07G011130	7628	6882	7194	5339	5859	outlier012	7324	6954	5123	6457	TC07G000920	AT1G17160	TC06G020780	6393	5815	KT377086.1	4951	6366	7136	TC09G026260	5264	6780	TC07G000500	5733	5090	7029	6538	TC02G004290	7325	5893	AT3G24190	5531	5660	5980	5064	5477	7583	7371	AT5G13400	6506	4806	7363	6460	6398	4890	7021	5634	6119	TC01G040040	6946	5639	KT377126.1	5220	5981	7128	NM_179236.3	5355	6854	6791	TC06G006880	6128	6227	6282	6533	6969	5770	TC05G003200	6977	TC04G015820	6379	5821	AT3G56940	TC01G033670	TC09G007890	5594	6483	KT377078.1	outlier004	AT5G08530	TC01G032610	7602	NM_001198514.1	6792	6860	7331	TC01G002420	TC04G019470	5454	5866	outlier001	5163	5335	5326	5116	AT5G64370	6550	5464	6639	6848
MeanLength	463.22727272727275	988.2	991.0434782608696	1218.5	1051.8	754.9090909090909	424.77272727272725	664.35	813.9545454545455	1061.0869565217392	1274.590909090909	987.0	575.6	315.27272727272725	1088.1818181818182	545.6666666666666	914.4	455.53846153846155	841.6875	1538.0	419.0	120.0	885.2857142857143	639.2608695652174	1151.25	1152.6315789473683	293.04545454545456	422.55	1243.6363636363637	1183.5	1040.0	772.5	516.5	338.6	123.0	657.0	426.70588235294116	631.125	981.0	852.7058823529412	552.75	800.7142857142857	1204.2	504.6	593.55	568.5	279.0	571.5	755.2941176470588	350.4782608695652	117.0	1081.6153846153845	2289.0	516.4090909090909	1275.0	333.6	575.0526315789474	342.0	735.3913043478261	1125.0	884.4	168.0	824.25	1411.8	677.4782608695652	1102.2	653.3333333333334	2244.15	1667.04	384.0	853.2857142857143	758.1818181818181	957.0	863.4285714285714	1297.8	517.7647058823529	147.0	123.0	1342.5	1146.6	1879.5	760.5	375.75	1434.0	760.5	1062.5	679.5	1132.5	311.4782608695652	1428.0	649.1666666666666	1958.25	443.5263157894737	461.64	639.0	1905.8333333333333	1220.625	1726.125	981.4090909090909	275.47058823529414	407.5	1073.4	1547.5	414.1363636363636	1401.0	480.4	503.47058823529414	618.125	885.75	385.7142857142857	1590.0	1276.5	1255.2	1021.5555555555555	1855.625	684.0	645.7142857142857	1425.1875	678.8571428571429	238.0	630.5217391304348	148.5	2066.875	618.75	735.5	1289.25	909.0	628.7368421052631	1050.9473684210527	953.1666666666666	769.05	611.4	1119.0	1238.55	446.2173913043478	847.7142857142857	1054.8	547.2272727272727	596.375	210.0	293.75	814.6	864.75	1149.5	344.04	566.4	592.375	686.6842105263158	1799.0	849.0	662.1176470588235	961.0	1519.2	709.2	909.4615384615385	297.0	526.2857142857143	1455.9545454545455	396.75	586.3125	643.7368421052631	778.375	694.5	1001.88	619.551724137931	1214.0	465.2857142857143	588.6923076923077	957.0	1020.0	541.6	864.8	448.35	704.3478260869565	476.1666666666667	757.7142857142857	577.5	604.0	720.6	264.0	406.90909090909093	638.3571428571429	1186.578947368421	993.2142857142857	432.63157894736844	714.72	530.8636363636364	610.5	495.27272727272725	685.7727272727273	862.6875	400.0	750.2727272727273	1533.875	522.6666666666666	446.16	968.4545454545455	576.0	1421.4	1514.875	610.2	801.7058823529412	1410.6	1527.5714285714287	2239.5	581.6785714285714	1254.7241379310344	380.52	445.2	655.8333333333334	670.65	159.0	1144.5	712.0434782608696	784.9615384615385	1201.0714285714287	1548.0	1297.125	716.3076923076923	427.6	462.42857142857144	873.75	1715.8333333333333	1149.6	461.45454545454544	416.29411764705884	605.8846153846154	1574.88	900.6	523.0909090909091	527.4782608695652	888.75	978.2	1070.25	268.57142857142856	782.25	180.0	1044.0	1241.6470588235295	743.0	563.7272727272727	450.1304347826087	459.7142857142857	1433.25	625.2272727272727	220.0	270.75	1414.2631578947369	591.625	1332.75	629.0	1975.5	944.625	120.0	771.2307692307693	310.85714285714283	638.7142857142857	258.9130434782609	601.4285714285714	627.2727272727273	282.9230769230769	437.2105263157895	625.65	1384.375	1052.76	407.8636363636364	912.6	716.3684210526316	1627.5	924.6923076923077	1037.3333333333333	898.5	961.6363636363636	875.4	728.4	1731.0	1138.5	772.5	1036.5	1047.75	500.3076923076923	132.0	1035.5	661.05	382.2	366.54545454545456	1080.75	468.4736842105263	1722.6315789473683	795.5	2839.2	832.2352941176471	924.0	488.85714285714283	915.2727272727273	389.625	790.5	506.8636363636364	523.5652173913044	462.2608695652174	1521.2903225806451	749.0454545454545	120.0	629.8	660.6315789473684	761.6842105263158	493.65	743.25	745.5	1813.0	719.4545454545455	624.6	437.4	576.15	624.6	407.3333333333333	738.0	1240.857142857143	368.5263157894737	1258.8	554.8421052631579	499.1666666666667	762.375	602.25	778.5	451.3636363636364	558.24	1620.0	414.1304347826087	461.36842105263156	650.3478260869565	224.07692307692307	597.0	356.0625	235.9090909090909	1692.75	518.3333333333334	595.7727272727273	535.5	877.1111111111111	361.3125	575.52	791.125	1070.1	2082.625	1073.25	443.4375	770.2857142857143	532.2	547.1052631578947	876.1363636363636	1166.64	1665.5	299.04545454545456	695.5384615384615	442.7647058823529	1077.6	797.7142857142857	570.3333333333334	455.85714285714283	1095.75	282.88235294117646	1222.3636363636363	582.75	474.57142857142856	1594.2	295.90909090909093	669.3529411764706	757.2	927.0	1514.0	648.0	751.125	307.5	162.0	1162.8	1059.0	727.2631578947369	2018.0	640.2857142857143	556.2	796.0434782608696	1140.6	698.25	1148.5714285714287	478.4	159.0	1481.2105263157894	1230.5	1313.875	968.64	938.4	361.5	820.3333333333334	640.32	518.3181818181819
SRR10244988	582	633	915	1056	834	231	372	915	207	0	354	1755	441	0	189	381	270	186	450	1404	378	0	93	0	864	96	231	300	243	426	216	969	195	0	0	384	168	0	0	525	225	372	480	267	195	939	0	681	150	0	0	291	2523	0	1188	357	234	0	201	723	126	0	756	1638	618	1359	288	0	732	207	0	459	339	0	1506	480	0	114	1395	1140	1986	417	0	822	738	0	171	609	0	1548	0	1902	357	456	0	666	504	2355	282	0	684	1248	1941	0	1437	0	462	0	918	0	1707	1212	1980	714	906	492	0	675	0	0	339	72	477	123	585	1266	381	0	384	0	270	351	1389	816	0	0	426	141	465	204	0	0	642	1233	342	0	0	576	1971	747	0	1032	210	732	171	0	285	783	0	441	75	816	369	138	690	228	0	135	1134	801	333	78	0	171	186	0	762	531	435	0	0	492	1596	0	336	777	387	282	0	360	507	351	0	279	357	1335	0	807	1194	1674	0	300	762	0	1635	600	1134	0	567	429	729	0	1281	318	213	852	1539	0	0	0	246	636	540	1506	0	915	0	1959	1437	0	153	660	657	981	0	771	0	870	753	528	0	252	459	759	414	219	0	555	0	540	735	1773	855	0	0	0	558	96	0	336	0	0	294	531	1206	114	690	234	1755	267	993	1197	846	903	375	1176	828	360	666	1071	0	0	570	0	0	0	858	441	207	966	3444	330	162	132	0	384	738	0	0	120	441	615	63	126	636	123	0	270	726	1677	0	165	723	0	150	327	636	1449	0	1722	0	273	300	0	624	0	165	1149	0	0	606	0	624	0	0	1755	0	0	0	366	378	141	441	144	1506	1317	0	234	429	354	0	807	1371	0	282	0	1164	0	591	360	567	0	0	591	162	1887	0	234	756	786	1626	495	318	198	114	1452	489	249	2253	411	276	198	1023	777	702	0	0	684	111	396	180	1107	267	333	0	267
SRR10244989	480	636	915	1056	834	138	372	870	207	0	432	1854	162	0	240	273	231	186	450	1395	378	0	93	0	1047	72	183	354	201	258	0	909	198	126	0	375	186	0	0	516	213	156	456	210	222	672	90	681	150	0	0	213	2391	0	570	357	150	0	123	723	234	0	429	1638	408	1308	288	0	201	0	0	297	177	0	1473	63	0	114	1395	1140	1293	237	0	810	606	327	129	609	0	594	0	1725	261	453	357	156	186	1584	303	0	525	822	1941	0	729	0	225	0	900	0	1707	1212	1980	714	717	492	0	978	225	0	339	102	237	108	441	1314	381	0	192	0	270	303	1389	543	0	0	426	96	465	204	0	0	642	759	321	0	0	357	1971	747	0	822	300	639	171	0	282	822	0	177	0	807	363	0	447	345	0	135	1128	768	180	264	0	171	186	0	375	531	447	0	0	492	1125	0	255	207	387	564	0	336	507	264	0	189	357	1335	0	807	567	699	0	288	597	222	885	600	819	96	567	240	654	0	582	252	213	1275	1617	0	0	0	159	636	0	1500	0	546	0	1530	1437	0	153	660	522	981	102	753	0	870	306	528	0	249	291	759	240	0	0	288	0	540	648	1500	855	0	0	0	249	96	0	165	0	0	174	429	663	114	357	159	1443	177	561	747	558	654	375	1044	828	120	666	1071	0	0	570	0	0	0	354	225	0	966	3444	300	162	0	0	135	465	0	0	135	369	558	63	126	198	123	0	270	546	783	0	132	678	0	150	300	486	696	0	1677	0	273	300	231	624	0	159	879	0	0	309	0	624	0	0	1731	0	0	0	366	180	141	171	0	846	1068	0	597	183	315	0	348	1371	0	186	0	1164	0	249	198	348	0	0	591	141	1887	0	234	756	786	1623	0	273	171	114	1452	450	225	1875	459	276	132	507	753	702	0	0	291	57	396	180	354	264	279	0	189
SRR10244990	642	636	1164	1056	834	234	372	915	201	0	504	1563	345	0	150	279	276	186	450	1404	378	0	132	0	864	72	231	354	231	402	0	933	495	330	0	384	240	0	0	393	216	234	438	159	276	780	90	681	150	0	0	291	2466	0	1407	357	234	0	201	723	297	0	606	1632	618	1308	288	219	921	204	0	618	165	0	1506	264	0	114	1395	1140	2040	333	0	822	729	0	183	609	0	1458	0	1734	297	453	306	651	186	2355	234	0	678	1248	1791	0	1410	0	561	0	918	0	1707	1236	1983	714	849	492	0	1077	225	0	363	102	495	135	441	1266	381	0	348	0	270	477	1389	735	0	0	426	132	465	204	0	0	642	759	342	0	0	561	1971	747	0	1050	264	732	171	0	369	1029	0	417	0	750	375	0	498	627	0	210	1218	801	333	264	0	306	252	0	684	531	450	0	0	492	1746	0	336	588	435	564	0	360	507	333	0	189	357	1335	0	807	1194	915	0	288	657	114	1635	588	819	96	567	240	729	0	1326	0	213	459	1539	159	0	0	255	675	246	1500	0	384	0	1797	1437	0	153	297	393	981	219	771	0	870	606	528	0	240	459	759	375	219	0	579	0	531	711	1773	855	0	186	0	447	96	0	336	0	0	189	531	1206	267	696	234	1539	180	993	801	684	990	300	1176	828	441	666	1071	0	0	570	0	0	0	858	225	0	966	3444	330	213	132	0	135	591	0	0	135	441	615	63	147	660	123	0	270	546	561	0	297	723	474	150	288	486	1383	0	1581	0	273	300	0	603	240	165	1044	0	0	417	0	624	0	0	1755	0	0	0	366	246	216	441	147	1398	1164	0	768	372	312	0	723	1371	0	195	0	1164	492	591	360	507	0	0	591	270	1887	0	234	756	786	1632	258	300	198	114	1458	489	0	2253	384	321	198	1023	777	702	0	0	396	129	396	180	1065	267	333	204	384
SRR10244991	582	636	915	1056	834	231	372	912	213	0	336	1869	579	0	171	273	0	186	450	1404	378	0	93	0	1044	141	231	0	189	0	0	819	258	327	0	384	171	0	0	348	213	339	456	267	222	891	90	681	150	0	0	291	2523	0	1407	354	234	0	201	723	234	0	654	1638	459	1308	288	0	849	192	0	342	174	0	1491	63	0	114	1395	1140	1293	249	0	822	693	369	135	609	0	1209	0	1734	297	453	363	567	186	1644	231	0	756	822	1941	0	1344	0	264	0	918	0	1707	1212	1911	714	813	492	0	1077	369	0	339	102	318	135	441	1353	381	0	294	0	270	0	1389	681	0	0	426	0	465	201	0	0	642	759	342	0	0	576	1971	747	0	1086	0	759	165	0	285	879	0	555	0	816	135	0	546	528	0	135	1104	801	396	186	0	252	201	0	489	531	435	0	117	492	1809	0	330	582	387	564	0	360	507	357	0	441	354	1332	0	807	627	885	0	288	678	0	1635	600	819	0	297	240	729	0	1281	375	213	1125	1539	315	0	0	159	588	315	1500	0	393	0	1800	1437	0	153	660	531	981	0	753	0	870	150	528	0	240	459	759	339	219	0	462	0	669	678	1413	855	0	186	0	408	96	0	213	207	0	189	429	1197	267	639	159	1632	180	993	891	837	654	351	1176	828	204	666	1071	0	0	570	0	0	0	597	423	285	966	2655	330	162	132	0	384	855	0	0	135	339	615	63	126	540	123	0	270	546	921	0	216	906	0	150	300	498	1503	0	1479	0	273	270	0	624	87	165	1026	0	0	417	0	624	0	0	1755	0	0	0	366	246	138	312	123	1398	1158	0	573	372	315	0	354	1371	0	195	0	1164	0	321	198	567	0	0	591	270	1887	0	234	756	786	1623	480	300	198	114	1452	489	156	2253	483	276	150	1023	777	843	0	0	411	57	384	177	1107	267	324	0	189
SRR10244992	582	636	1026	1056	834	138	372	915	207	0	543	1929	501	0	171	315	204	186	450	1404	378	0	228	0	1047	141	231	300	327	330	0	969	282	330	0	384	240	0	0	522	213	366	480	267	222	459	90	681	150	0	0	309	2523	0	1404	357	183	0	255	723	288	0	555	1638	618	1308	288	0	876	207	0	666	432	0	1506	264	0	114	1398	1140	2040	423	0	822	729	381	183	609	0	1458	0	1743	357	453	465	666	504	2301	282	0	753	471	1941	0	1437	0	369	0	918	0	1707	1212	1980	870	999	492	0	663	225	0	384	102	477	135	441	1266	381	0	300	0	270	0	1389	1014	0	0	426	0	465	204	0	249	642	759	324	0	0	576	1971	747	0	1143	126	732	174	0	174	1029	0	573	0	816	369	0	690	423	0	210	1254	801	333	216	0	252	252	0	657	531	435	0	0	498	2163	0	336	639	435	564	0	429	507	366	0	279	357	1335	0	807	1194	1464	0	288	762	0	1635	600	819	0	567	429	729	0	1284	402	213	1275	1539	273	0	0	246	636	360	1500	0	675	0	1722	1437	0	438	660	657	981	228	771	0	870	492	528	0	252	459	759	375	219	0	546	0	576	735	1773	855	0	0	0	447	96	0	336	231	0	294	531	1206	267	456	234	1755	327	993	987	786	1026	375	1176	828	339	678	1071	0	0	570	0	0	0	597	423	237	966	3444	402	189	132	0	315	738	0	0	294	393	615	63	126	528	291	0	270	708	1020	0	165	906	0	153	300	567	1482	0	1722	0	273	273	333	624	240	162	1170	0	0	606	0	624	0	0	1755	0	0	0	366	378	0	441	210	1506	1089	0	597	372	315	0	945	1491	0	282	0	1164	0	591	411	567	0	75	591	270	1887	0	234	756	786	1623	471	300	198	114	1452	489	0	2253	483	276	222	1023	777	678	0	0	558	0	396	180	471	267	279	174	261
SRR10244993	642	636	1176	1056	834	264	372	969	246	0	537	2055	552	0	225	399	231	186	174	1404	378	0	93	0	462	141	228	318	354	402	708	969	495	330	0	291	240	0	0	462	213	405	549	270	225	633	87	681	150	0	0	294	2523	0	549	354	234	0	129	1188	243	0	519	795	618	1308	288	396	885	207	0	654	300	0	594	480	0	114	1398	672	1965	480	0	822	645	0	183	609	0	894	0	1734	357	264	351	687	186	2355	540	0	765	432	1941	180	771	0	609	0	468	0	1707	1233	1872	714	1041	432	0	1236	315	0	339	102	477	228	282	1266	381	0	399	0	270	0	1389	1068	0	0	426	0	291	204	0	369	639	1233	342	0	0	558	1971	468	0	1143	189	735	165	0	381	987	0	591	231	816	375	249	255	678	0	195	1104	801	567	363	0	252	276	0	654	651	435	0	0	492	588	0	336	777	444	333	0	360	276	369	0	378	357	1335	0	807	1194	1548	0	300	1395	201	1635	600	750	0	510	423	729	0	582	408	213	879	1539	339	0	0	255	636	162	1500	0	384	0	684	432	525	153	660	657	981	267	753	0	870	375	336	0	252	459	759	450	219	0	549	0	540	828	1773	855	0	186	0	627	126	0	408	0	0	294	531	648	267	543	234	1758	378	546	1023	1062	960	375	1176	828	495	834	1071	0	0	306	0	0	0	858	423	378	966	3444	528	213	132	0	315	858	0	0	195	441	615	0	126	531	291	0	270	669	1455	0	270	906	330	0	345	720	1119	0	1278	0	273	390	0	582	240	165	1170	0	0	606	0	624	0	0	1755	0	123	0	366	231	216	429	210	1506	1371	0	336	429	315	0	750	1494	0	285	0	1164	0	591	399	567	0	75	516	270	1887	0	267	756	393	1632	399	300	198	135	576	258	186	1122	453	321	105	1023	777	1092	84	159	564	216	396	180	492	267	333	318	261
SRR10244994	642	636	1176	1056	834	138	372	915	267	0	567	1833	522	0	417	393	0	186	450	1404	378	0	189	0	486	141	231	354	537	402	753	819	495	330	0	384	240	0	0	462	213	405	480	270	231	882	90	681	150	0	0	294	2523	0	768	357	234	0	258	1188	243	0	786	1638	618	1308	288	474	945	207	0	654	420	0	1506	480	0	114	1416	1140	1965	480	0	822	729	0	261	843	72	1476	0	1902	330	453	0	771	339	2331	675	0	756	897	1941	180	855	0	609	0	918	285	1707	1233	1965	714	1041	720	0	1236	369	0	471	159	1095	336	441	1266	600	0	426	0	270	0	1389	993	0	0	426	0	465	204	0	0	639	1233	291	0	0	558	1971	747	0	1059	222	735	165	0	438	564	0	450	0	816	375	138	690	678	0	309	1254	1164	567	273	0	273	300	0	654	669	384	0	0	492	2058	0	336	621	387	564	0	432	816	366	0	336	357	1335	0	807	1194	1674	0	300	735	0	1611	600	579	0	567	423	729	0	1335	402	213	879	1539	210	0	0	255	1011	183	1500	0	963	0	1725	1437	552	153	660	657	585	201	771	0	870	411	528	0	252	480	759	420	219	0	654	0	1188	828	1773	855	0	306	0	564	96	0	420	0	0	300	531	1206	267	771	468	1758	297	978	909	1062	1029	375	1176	1161	495	744	1071	0	0	570	0	0	0	858	423	333	966	1896	546	213	132	0	384	756	0	0	150	771	615	0	126	660	246	0	270	726	1554	0	345	450	474	0	405	492	1248	213	1002	0	276	408	0	627	240	165	1170	0	0	606	0	624	0	0	1755	0	114	0	972	378	183	531	150	759	1284	0	549	429	315	0	1128	1494	0	285	0	1164	0	591	462	615	0	0	564	270	1887	0	234	756	786	1632	498	360	198	135	1458	489	519	2253	522	303	150	1023	777	714	84	0	588	234	396	180	582	267	480	204	261
SRR10244995	642	507	1176	1056	834	264	372	915	426	0	627	1749	570	0	417	468	231	186	450	1404	378	0	93	0	864	141	231	354	354	402	696	969	495	330	0	384	171	0	0	516	213	483	480	159	195	882	87	681	150	0	0	294	2448	0	468	357	234	0	255	723	243	0	717	1638	618	1308	288	339	876	207	0	654	156	0	1506	438	0	114	1398	1125	1998	480	0	822	729	204	183	609	0	1497	0	1983	357	453	411	666	186	2355	411	0	753	429	1941	180	771	0	609	0	489	210	1707	1233	1953	714	1224	492	0	1236	369	0	441	159	597	222	441	1266	381	0	426	0	270	0	1389	1068	0	0	426	0	465	204	0	0	639	759	291	0	0	558	1971	747	0	1257	354	735	171	0	462	1014	0	450	0	816	375	549	690	399	0	195	1254	801	567	420	0	252	300	0	744	318	675	0	0	492	1311	0	336	606	387	564	0	360	507	366	0	636	540	1227	0	807	1194	1590	0	300	885	183	1635	600	474	0	567	264	729	0	1335	351	213	879	1539	315	0	0	243	636	0	1500	0	834	0	1956	1011	429	153	660	657	981	258	771	0	870	846	528	0	240	432	588	420	219	0	579	0	669	927	1773	855	0	306	0	564	96	0	408	0	0	300	504	531	204	717	327	1758	423	498	1284	768	1029	375	1176	828	462	666	1071	0	0	570	0	0	0	858	423	378	966	3444	429	213	132	0	210	717	0	0	135	393	615	0	177	540	270	0	270	546	735	0	186	906	435	0	405	612	1503	162	1644	0	273	300	0	627	240	165	1170	0	0	375	0	624	0	0	1755	0	126	0	366	246	216	438	285	1110	1224	0	597	372	354	0	1128	1494	0	285	0	1164	0	591	468	507	0	0	591	255	1887	0	234	756	786	1632	540	360	198	135	624	489	513	2253	468	276	150	681	777	714	87	0	690	111	396	141	1107	267	366	204	402
SRR10244996	561	663	1236	1050	834	264	1425	915	207	396	933	1947	267	174	234	273	357	327	996	1323	378	0	273	345	1062	360	231	354	354	528	1131	819	495	330	0	132	237	237	1209	516	243	684	780	609	222	429	135	681	465	351	0	477	810	282	1188	357	417	312	255	723	453	0	957	960	459	1359	372	1065	951	219	444	423	393	342	1479	177	0	114	1398	1326	684	285	270	924	729	1032	228	627	174	981	279	1893	357	453	540	243	504	1194	744	180	492	534	1941	195	672	237	411	240	882	327	981	1233	1641	714	744	387	492	507	345	102	339	114	1146	228	588	1353	486	375	429	279	270	474	768	1014	201	192	1272	477	465	201	159	792	930	483	342	303	675	336	816	747	213	1143	789	537	279	138	396	675	144	336	648	816	369	372	690	348	150	429	1254	1074	564	390	456	603	252	831	573	336	447	0	240	1089	1311	474	462	582	435	399	168	729	507	372	531	714	357	597	312	834	312	1674	135	294	951	537	840	447	819	201	567	675	723	0	711	402	450	375	564	894	654	153	159	636	564	876	315	456	444	1947	1044	552	270	669	657	615	267	753	0	393	537	621	297	252	480	1050	750	219	252	654	585	318	1104	1197	861	0	291	174	264	120	294	675	402	204	294	741	1353	267	1740	318	1443	297	561	921	846	390	339	834	828	258	510	1293	237	0	1272	237	387	204	900	225	444	963	2658	825	435	327	396	363	693	258	336	318	354	615	63	570	306	288	255	747	546	2055	261	303	627	471	900	366	486	636	342	1317	261	273	375	489	669	237	510	525	429	516	396	216	396	0	237	963	186	237	216	771	180	339	186	507	2346	870	264	336	564	315	873	381	1371	258	195	207	1317	198	591	360	456	144	372	591	207	1293	219	504	756	786	1632	651	357	186	114	1458	1383	300	810	453	279	282	1023	813	1047	369	0	690	576	738	987	423	267	543	510	186
