Species	AT2G31240	6733	TC05G003200	6500	6977	TC02G024400	TC09G017950	6570	6447	6483	TC00G083870	7371	TC05G027690	5772	outlier014	6139	6883	4932	TC09G009480	6532	6450	TC02G003180	5406	TC07G000920	5034	6893	TC01G019030	7325	TC07G011130	4951	6034	6954	6631	TC04G030670	7602	4724	6227	TC06G016050	5318	AT3G04880	6320	6407	6363	6565	KT377126.1	TC04G026920	TC00G047210	7628	KT377094.1	TC06G006880	5843	5578	6962	6406	5960	5981	5942	5816	6164	TC09G025650	6797	TC01G032610	6439	5933	NM_179236.3	6420	6875	TC01G021540	AT5G13520	5639	TC03G028600	outlier002	5866	6274	NM_001198514.1	5990	TC04G015820	5354	5945	outlier010	7111	TC01G040040	5918	6430	7363	4890	6448	AT5G50280	AT2G35790	5842	outlier001	outlier011	6004	5926	6064	6265	5427	6492	6865	5328	5163	5469	7028	5343	NM_124699.3	5531	6848	5870	AT3G46610	5464	TC01G019250	5162	6383	6785	7194	5536	6238	7241	5326	AT3G56460	7128	5699	7021	TC05G029300	6780	KT377102.1	6366	6557	7333	AT3G10150	6978	TC09G034320	TC03G025580	5296	4954	6000	6601	TC02G023190	AT1G63680	AT5G64370	5802	AT1G02020	AT4G15420	TC03G023900	AT4G39520	6150	AT5G55960	6507	5220	6552	6460	6792	5841	5821	AT5G08530	AT2G01650	6924	6854	7029	5865	6859	5489	6459	5188	TC03G001430	5980	5138	TC01G005310	TC09G007890	6540	TC01G033670	6130	6270	5599	5449	5032	AT5G13630	AT5G02860	TC02G026940	6098	AT5G13030	TC01G002420	5335	6705	5656	5177	6488	6221	4796	outlier006	7367	outlier013	TC04G028160	4848	6128	6412	5434	6506	6318	7336	5339	6110	5460	5919	6148	6958	KT377086.1	6550	AT5G23940	5064	6641	6860	5941	5644	5791	6914	7024	6882	TC07G000500	AT4G38890	6387	AT3G53700	7135	5936	7141	6782	6299	5702	AT3G24190	4691	AT4G00740	4806	5968	6457	6528	AT3G56940	outlier003	6114	6909	6864	4744	TC04G019470	6036	5366	AT5G40440	TC06G011670	6051	AT1G48520	5123	6378	6679	5913	6494	5454	5116	5206	AT3G59040	TC03G002530	TC05G024510	5426	AT3G02760	6401	5594	5857	AT1G17160	4471	6779	6969	5949	outlier005	6620	6379	5428	5355	6405	6216	TC09G004790	AT1G52310	5421	KT377070.1	4942	5347	6933	5596	7273	TC02G006310	outlier004	TC09G010970	TC02G004290	5849	TC03G012430	6487	TC06G020780	5264	5333	AT3G54690	6393	AT5G13400	6282	6636	6050	TC05G008010	5977	5463	outlier009	5634	6979	5660	6527	6732	7279	6226	AT5G57930	TC02G009310	4889	6048	5348	7572	5703	7577	AT2G35130	6533	6946	NM_148067.4	5733	4992	7331	TC04G030490	6072	TC09G026260	5260	TC08G013000	6198	5271	5554	6531	6947	5273	6667	5859	AJ133743.1	TC05G005750	outlier007	5716	AT4G33945	6913	5893	6119	6791	KT377078.1	6995	TC03G010340	5477	7174	7324	6284	5090	6544	6398	5815	AT3G54090	6825	6056	7136	5398	6175	TC09G026350	5664	6713	4757	5910	7583	6955	5104	AT3G26782	5770	7296	outlier008	6563	4793	4802	AT1G65380	AT2G33630	TC01G007130	KT377118.1	TC05G022880	NM_113708.2	5614	6041	5940	AT5G21070	6538	outlier012	6639	5958	5513
MeanLength	1297.8	406.90909090909093	582.75	1410.6	474.57142857142856	1276.5	1799.0	596.375	422.55	751.125	2289.0	235.9090909090909	1433.25	618.125	120.0	849.0	468.4736842105263	841.6875	1149.5	258.9130434782609	1183.5	1151.25	1186.578947368421	743.25	685.7727272727273	380.52	568.5	451.3636363636364	790.5	576.15	563.7272727272727	660.6315789473684	750.2727272727273	1080.75	727.2631578947369	619.551724137931	570.3333333333334	576.0	618.75	885.75	1243.6363636363637	407.8636363636364	1241.6470588235295	495.27272727272725	532.2	898.5	1040.0	506.8636363636364	552.75	1077.6	366.54545454545456	210.0	476.1666666666667	847.7142857142857	981.0	876.1363636363636	581.6785714285714	1519.2	350.4782608695652	571.5	638.7142857142857	1059.0	459.7142857142857	800.7142857142857	1665.5	630.5217391304348	446.16	1054.8	1548.0	770.2857142857143	610.5	168.0	478.4	586.3125	2018.0	384.0	1594.2	480.4	655.8333333333334	123.0	601.4285714285714	1073.25	735.3913043478261	279.0	535.5	575.52	864.8	1879.5	445.2	1061.0869565217392	159.0	159.0	577.5	755.2941176470588	643.7368421052631	631.125	813.9545454545455	530.8636363636364	575.0526315789474	461.64	1481.2105263157894	527.4782608695652	516.5	670.65	148.5	414.1304347826087	518.3181818181819	517.7647058823529	1538.0	820.3333333333334	1590.0	1274.590909090909	968.4545454545455	311.4782608695652	462.2608695652174	375.75	981.4090909090909	591.625	1313.875	772.5	1166.64	657.0	791.125	2239.5	368.5263157894737	504.6	624.6	310.85714285714283	407.5	875.4	832.2352941176471	1119.0	987.0	993.2142857142857	1037.3333333333333	575.6	716.3684210526316	1125.0	1958.25	938.4	268.57142857142856	1627.5	1275.0	988.2	684.0	661.05	1547.5	465.2857142857143	547.1052631578947	649.1666666666666	877.1111111111111	640.2857142857143	769.05	669.3529411764706	1162.8	1342.5	1204.2	695.5384615384615	762.375	1384.375	924.6923076923077	953.1666666666666	714.72	625.65	782.25	650.3478260869565	694.5	743.0	1514.0	610.2	927.0	443.5263157894737	396.75	1722.6315789473683	961.6363636363636	914.4	2839.2	1975.5	1102.2	1731.0	1428.0	1140.6	1230.5	293.04545454545456	282.9230769230769	592.375	625.2272727272727	645.7142857142857	884.4	180.0	342.0	147.0	1044.0	1514.875	797.7142857142857	605.8846153846154	664.35	518.3333333333334	1715.8333333333333	448.35	1521.2903225806451	344.04	385.7142857142857	463.22727272727275	450.1304347826087	716.3076923076923	437.4	361.5	944.625	224.07692307692307	541.6	556.2	424.77272727272725	784.9615384615385	679.5	728.4	293.75	523.5652173913044	1258.8	1401.0	814.6	1035.5	588.6923076923077	416.29411764705884	678.8571428571429	432.63157894736844	437.2105263157895	760.5	1620.0	545.6666666666666	1218.5	595.7727272727273	462.42857142857144	493.65	419.0	757.2	120.0	566.4	522.6666666666666	500.3076923076923	315.27272727272725	698.25	991.0434782608696	1088.1818181818182	1036.5	961.0	1052.76	1132.5	761.6842105263158	924.0	639.2608695652174	1062.5	1214.0	1148.5714285714287	968.64	526.2857142857143	1332.75	1020.0	1411.8	1254.7241379310344	1726.125	639.0	648.0	653.3333333333334	745.5	772.5	704.3478260869565	282.88235294117646	547.2272727272727	132.0	638.3571428571429	295.90909090909093	523.0909090909091	299.04545454545456	1050.9473684210527	909.4615384615385	760.5	1149.6	1152.6315789473683	629.0	758.1818181818181	220.0	627.2727272727273	1574.88	426.70588235294116	735.5	162.0	709.2	778.5	503.47058823529414	1146.6	1238.55	1813.0	1240.857142857143	2244.15	873.75	719.4545454545455	1692.75	455.85714285714283	628.7368421052631	771.2307692307693	1255.2	611.4	455.53846153846155	123.0	1070.1	778.375	461.36842105263156	1220.625	382.2	915.2727272727273	1001.88	1138.5	720.6	516.4090909090909	297.0	488.85714285714283	677.4782608695652	863.4285714285714	446.2173913043478	1421.4	1095.75	443.4375	824.25	554.8421052631579	1855.625	796.0434782608696	1047.75	662.1176470588235	738.0	270.75	1070.25	461.45454545454544	593.55	1081.6153846153845	389.625	1527.5714285714287	1414.2631578947369	801.7058823529412	749.0454545454545	795.5	957.0	117.0	1667.04	909.0	862.6875	558.24	2082.625	442.7647058823529	307.5	238.0	864.75	597.0	1297.125	629.8	1021.5555555555555	499.1666666666667	1905.8333333333333	361.3125	624.6	1144.5	414.1363636363636	885.2857142857143	407.3333333333333	1425.1875	1201.0714285714287	1434.0	957.0	853.2857142857143	686.6842105263158	712.0434782608696	356.0625	338.6	427.6	900.6	1222.3636363636363	275.47058823529414	264.0	978.2	1533.875	852.7058823529412	1051.8	1073.4	1289.25	912.6	888.75	400.0	2066.875	1455.9545454545455	757.7142857142857	604.0	602.25	120.0	640.32	333.6	754.9090909090909
SRR10244988	1473	0	528	762	162	1239	1938	0	282	318	2064	0	759	0	0	231	435	450	759	96	426	864	591	270	300	0	279	0	456	0	0	516	0	597	126	168	591	471	123	900	213	0	753	0	372	1197	216	0	213	1164	0	204	159	0	0	0	327	210	0	681	549	489	99	381	1380	231	1335	426	1056	126	399	0	0	441	0	207	1866	0	429	114	0	819	201	0	0	0	78	1299	276	0	0	0	177	150	0	0	207	387	84	288	687	153	225	729	0	0	219	57	1656	114	1641	330	0	0	120	0	228	0	396	549	369	375	267	0	0	159	0	0	759	504	252	1389	1341	0	837	423	147	723	1734	777	0	1539	1188	633	492	0	1392	0	192	0	285	234	270	225	1245	1395	480	105	141	429	267	0	207	300	771	417	327	528	1101	0	786	231	0	207	189	270	3444	1791	1308	969	924	1023	111	0	0	0	339	0	123	0	0	0	954	921	0	0	324	0	546	0	120	339	0	582	240	0	162	267	855	0	180	162	210	213	165	375	0	0	1545	804	0	1272	135	249	0	336	0	417	879	387	1056	0	246	0	204	591	0	0	171	0	0	663	282	189	552	1032	507	639	120	162	0	0	228	981	180	174	669	801	1638	492	2355	0	495	288	465	366	171	0	141	0	282	0	0	0	192	165	645	1308	111	270	459	219	336	606	171	441	114	207	624	156	1308	156	1596	864	0	636	0	1755	198	0	0	0	306	186	0	165	816	0	177	0	0	138	828	435	0	0	111	159	0	0	1194	567	0	429	0	882	216	1062	0	492	0	981	0	195	147	135	0	315	141	615	954	1134	0	156	381	138	165	1398	0	198	0	642	624	0	126	711	255	243	180	165	1074	0	93	165	366	852	822	141	0	177	228	0	0	0	1287	0	0	0	246	279	525	945	1248	1266	624	660	312	186	159	0	474	0	63	0	354	135
SRR10244989	1311	0	591	513	141	1239	1938	0	219	0	933	0	759	0	0	231	225	450	606	96	252	864	240	270	273	0	279	0	456	0	0	198	0	354	0	168	249	471	108	900	201	114	306	0	243	645	0	0	213	1164	0	204	0	0	0	0	327	300	0	681	447	450	99	162	1380	231	1335	426	831	126	519	0	0	177	0	0	774	0	240	114	0	819	123	87	0	0	264	1299	276	0	0	0	177	150	0	0	207	372	84	288	291	153	198	654	0	0	189	57	411	237	1641	327	0	0	135	0	303	0	396	549	294	375	171	0	0	159	0	0	396	501	153	1389	1341	0	837	162	189	723	1725	306	102	987	1407	636	492	0	1392	0	195	0	285	234	228	234	1245	1398	456	201	141	429	153	0	207	174	753	249	192	528	1029	0	786	156	0	0	189	195	3444	1728	1308	969	519	1023	57	0	0	0	204	0	243	0	0	0	954	573	0	0	324	0	0	0	120	342	0	582	249	0	162	264	855	0	180	141	213	213	129	375	0	0	1524	804	0	1272	93	309	225	255	0	237	879	279	1056	126	159	0	204	591	0	0	171	0	0	630	282	240	552	771	507	627	120	162	0	327	228	888	180	174	669	768	1638	294	1644	312	0	288	465	138	171	0	93	0	282	0	0	0	192	165	285	1266	72	270	297	0	186	606	183	441	114	207	624	156	1200	156	735	864	0	636	0	1566	198	0	0	0	303	186	0	0	603	0	177	0	0	0	828	435	0	0	0	159	0	0	705	348	0	303	0	561	129	957	0	498	0	981	0	213	147	135	156	288	141	543	948	1128	0	156	381	138	159	258	0	147	0	642	534	0	126	462	255	156	180	90	582	0	93	90	366	852	678	138	0	177	252	0	0	0	1287	0	0	0	246	189	561	945	822	1218	300	660	249	198	159	0	474	231	63	0	357	135
SRR10244990	1506	0	528	582	267	1242	1938	0	354	297	2250	0	759	0	0	231	210	450	759	96	402	864	480	270	369	0	279	240	456	474	0	474	0	597	0	168	591	471	135	825	231	114	537	0	243	801	0	0	216	1164	0	204	159	0	0	0	327	264	0	681	414	489	99	213	1380	231	1335	426	1386	126	414	0	0	417	0	204	1866	0	240	114	0	819	201	87	0	141	264	1299	276	0	0	0	177	150	0	0	201	435	84	288	411	153	495	729	0	0	351	57	1656	114	1641	483	0	0	135	0	0	0	396	549	120	375	387	0	0	159	0	0	396	501	0	1389	1341	0	837	222	210	723	1734	777	219	1539	1407	636	492	0	1392	0	192	0	285	234	270	234	1245	1395	438	105	141	504	180	0	207	0	708	354	378	528	1014	0	786	156	0	243	189	270	3444	1791	1308	969	1008	1023	129	231	0	0	273	0	243	0	0	0	954	915	738	0	324	0	156	0	120	306	0	642	0	0	162	267	855	0	180	261	213	213	129	300	0	0	1560	804	0	1272	135	249	225	336	0	333	879	279	1056	0	159	0	204	591	0	0	171	0	0	663	282	114	552	1050	507	843	120	213	0	0	165	873	180	174	648	801	1632	294	1992	306	171	288	465	447	294	0	129	0	282	0	0	0	180	165	729	1302	72	270	630	219	336	606	237	441	114	207	603	156	1308	156	561	864	0	675	0	1755	198	0	189	0	210	186	0	159	543	0	177	0	0	0	828	450	0	0	132	159	0	0	1116	501	0	303	0	852	207	1071	0	498	0	981	0	186	147	135	0	579	141	615	954	1203	0	156	381	138	165	435	0	198	0	642	534	159	147	681	255	243	246	165	1074	0	132	87	366	852	822	90	0	177	0	0	0	0	1287	0	0	0	108	189	393	1302	1248	1200	351	297	282	456	159	0	474	0	63	204	354	147
SRR10244991	1485	117	591	678	270	1239	1938	0	0	0	2067	0	759	0	0	231	423	450	759	96	0	864	240	270	360	0	279	87	456	0	0	531	0	597	105	168	321	471	108	900	189	0	120	0	243	756	0	0	213	1164	0	201	0	0	0	0	327	0	0	681	363	489	99	348	1380	231	1332	426	1386	126	519	0	0	555	0	192	1866	0	240	114	0	819	201	87	0	0	186	1299	276	0	0	0	177	150	0	0	207	435	84	288	411	153	258	729	0	0	189	57	918	282	1641	252	0	0	135	0	219	0	396	549	342	375	312	0	0	159	0	0	759	501	171	1389	1341	0	837	579	147	723	1734	777	0	1539	1407	636	492	0	1392	0	195	0	285	234	270	234	1245	1395	456	159	141	429	180	0	207	168	753	354	0	528	1044	0	786	81	0	204	189	0	3444	1890	1308	969	759	1023	57	0	207	0	0	0	234	0	0	0	954	885	0	0	324	0	297	0	120	339	0	582	222	0	162	267	855	0	180	162	213	213	135	351	0	0	1455	525	0	1272	135	309	225	330	0	249	879	279	1056	0	159	0	204	591	0	0	171	0	0	390	270	141	552	1086	507	627	120	162	0	369	228	780	177	174	669	801	1638	294	1644	363	480	288	465	138	252	0	0	0	282	0	0	0	189	165	729	1302	147	270	342	219	213	606	168	441	114	207	624	156	1326	156	846	864	0	636	0	1713	198	0	0	0	0	186	0	168	816	0	177	0	0	0	828	408	0	0	132	159	0	0	705	567	0	303	0	792	207	1029	0	498	0	981	0	201	147	135	0	462	141	615	954	1104	0	156	381	147	165	1398	0	198	0	642	534	270	126	711	255	156	246	105	1074	0	93	99	366	852	822	105	0	177	402	0	0	0	1287	0	0	0	249	435	348	1368	822	1170	561	660	357	0	159	0	474	0	63	0	357	135
SRR10244992	1506	0	528	765	225	1239	1938	0	267	300	2067	0	759	0	0	231	423	450	759	96	0	864	591	270	438	0	279	225	456	0	0	510	0	597	0	168	591	471	135	900	327	267	471	0	243	987	0	0	213	1164	0	195	0	0	0	0	327	126	0	681	414	489	99	387	1380	231	1335	426	1089	126	519	0	0	573	0	207	1866	0	429	114	0	819	201	87	0	0	216	1326	276	0	0	0	177	150	0	0	207	435	84	288	507	153	258	729	0	0	261	57	1305	279	1641	543	0	0	210	0	228	0	396	549	120	375	399	0	0	159	0	0	753	501	141	1389	1341	0	837	444	210	723	1743	480	177	1539	1404	636	492	0	1392	0	195	0	285	234	270	234	1245	1398	480	285	141	531	267	0	207	300	771	633	327	528	1209	0	786	231	0	237	189	204	3444	1791	1308	969	1008	1023	78	0	231	0	339	0	288	0	0	0	954	1017	0	0	324	0	294	0	120	321	0	582	243	0	162	267	855	0	180	168	213	213	153	375	0	0	1545	804	0	1272	96	249	225	336	0	423	879	321	1056	0	246	0	204	591	0	0	171	0	0	663	282	141	552	963	507	843	291	189	0	381	228	846	180	174	498	801	1638	294	2301	459	465	288	546	339	252	0	129	0	282	0	0	0	192	165	729	1302	0	270	459	219	336	606	237	441	114	207	624	156	1308	156	462	864	0	636	0	1755	198	0	0	0	0	186	0	210	816	0	177	0	0	0	828	435	0	0	132	159	0	0	1194	567	0	429	0	909	222	1053	0	498	0	981	0	201	147	135	0	510	141	615	954	1173	0	156	381	138	162	1398	0	198	0	642	624	0	126	711	273	243	378	165	1059	0	93	90	243	852	822	111	0	177	246	0	0	0	1287	0	0	0	246	189	522	1326	471	1266	429	660	309	195	159	0	474	333	63	174	357	135
SRR10244993	951	0	528	831	270	1239	1485	0	318	297	2070	0	759	0	0	231	423	450	759	126	402	519	591	270	369	0	276	240	456	330	0	429	0	858	126	168	591	471	234	900	354	267	432	0	429	909	684	0	213	1164	0	204	252	0	0	0	327	246	0	681	624	258	99	165	1380	231	747	426	972	126	189	0	0	591	0	207	1866	0	423	114	0	819	129	87	0	141	363	1557	276	0	159	0	177	150	0	0	246	144	84	264	663	153	309	729	0	0	261	57	1608	294	1641	537	0	0	195	0	342	0	279	549	339	291	435	0	96	159	0	0	765	759	270	1389	1341	0	561	345	210	1188	1734	363	267	1542	549	636	237	0	1392	0	195	0	285	234	270	234	513	1380	549	105	141	531	381	0	207	300	771	492	378	528	1236	0	315	243	0	189	189	195	3444	1899	1308	969	312	759	216	0	0	0	426	0	270	0	0	0	954	1539	0	0	324	0	162	0	120	291	0	642	252	0	162	267	855	0	180	168	213	213	144	375	0	0	981	504	0	1272	96	249	225	336	0	420	375	423	1056	126	255	0	204	591	0	0	171	0	0	663	282	225	552	1014	297	843	279	213	0	0	228	1278	180	174	552	798	795	345	1992	189	399	288	465	495	225	0	0	0	282	0	0	0	183	171	606	435	147	270	666	219	336	606	219	441	135	207	627	156	1317	156	1449	864	396	636	0	1755	198	0	189	0	0	186	0	210	816	0	177	0	0	249	828	435	0	0	132	159	0	0	672	567	0	303	0	978	207	768	0	492	0	981	0	195	147	135	132	549	141	588	954	1104	0	156	381	138	165	435	0	198	0	342	534	0	126	690	255	153	231	90	555	192	93	345	366	879	822	126	0	177	264	0	0	0	921	75	0	0	249	405	462	1641	1248	1266	366	660	324	450	159	0	267	0	0	318	354	135
SRR10244994	1506	0	528	738	204	1239	1737	0	354	297	2070	0	759	0	0	231	423	450	756	96	402	420	480	270	441	0	276	240	456	474	0	531	0	858	492	168	591	471	342	900	537	114	780	0	429	1032	729	0	213	1164	0	204	300	0	0	0	327	189	0	681	564	489	99	405	1380	231	1335	426	1386	126	456	0	81	450	0	207	1866	0	423	114	0	819	309	90	0	141	300	1944	276	0	0	0	177	150	0	0	267	144	84	288	588	153	309	729	0	0	261	57	1608	291	1641	567	0	0	165	0	399	0	396	549	339	387	531	0	0	159	0	0	756	759	162	1389	1341	0	516	522	210	1188	1734	777	201	1542	768	636	492	0	1392	0	195	0	285	159	270	234	1245	1398	480	105	141	531	297	0	207	300	771	579	378	528	1632	0	786	264	0	294	189	0	1896	1899	1308	969	1008	1023	309	0	0	0	411	0	270	0	0	0	954	1392	0	0	324	0	162	0	120	291	270	642	252	0	162	267	855	0	180	168	213	213	183	375	0	0	981	783	0	1272	96	249	225	336	0	480	879	399	1056	126	255	0	204	591	0	0	171	0	0	663	282	417	441	1059	297	843	246	213	0	0	228	1329	180	174	1188	801	1638	492	1989	0	495	288	465	495	273	0	0	0	282	0	0	0	186	171	729	1302	141	270	636	219	516	606	237	441	135	207	627	156	1326	156	903	864	0	636	0	1755	198	0	189	0	0	186	0	495	816	0	177	0	0	138	1161	384	0	0	132	159	0	0	1194	654	0	429	0	831	219	1038	0	492	0	585	0	231	147	135	0	498	141	615	954	1260	0	156	600	279	165	1500	0	246	0	639	624	165	126	711	192	243	378	138	1074	192	189	165	366	879	822	126	0	177	402	0	0	0	1287	0	0	0	249	438	300	1698	822	1266	618	660	366	279	159	0	474	0	0	0	354	135
SRR10244995	1506	0	528	957	255	1239	1971	0	354	297	2070	0	759	0	0	231	423	450	759	96	372	864	258	270	369	0	882	240	456	435	0	531	0	858	126	168	591	471	222	900	354	204	525	0	372	1197	591	0	213	1164	0	204	93	0	0	0	327	192	0	681	564	489	99	492	1380	231	1227	426	1104	126	564	0	81	450	0	207	1866	0	234	114	0	819	255	87	0	141	420	1494	276	0	0	0	177	150	0	0	480	144	84	288	690	153	495	729	0	0	276	57	1608	294	1641	627	0	0	135	0	294	0	396	549	342	387	435	0	0	159	0	0	753	759	162	1389	1341	0	465	570	240	723	1734	777	258	1542	468	330	492	0	1392	0	195	0	285	111	270	234	456	1398	480	105	141	504	171	0	207	300	771	417	378	528	1176	0	564	291	0	378	189	195	3444	1899	1308	969	1008	534	129	0	0	0	339	0	270	0	0	0	954	1590	0	0	324	0	0	0	120	291	222	642	195	0	162	267	855	0	180	162	213	213	165	375	0	0	1545	504	0	1272	96	249	225	333	0	420	879	474	1056	126	243	0	204	591	0	0	171	0	0	663	282	417	552	1098	228	627	192	171	0	195	228	921	141	174	573	801	1638	234	1992	426	537	288	465	465	252	0	0	0	282	0	0	0	192	171	729	1302	147	270	666	219	411	606	168	441	135	207	627	156	1311	156	846	864	0	636	0	1755	198	0	189	0	0	186	0	285	816	0	177	0	0	549	828	675	0	0	132	159	0	0	1194	567	0	429	0	1062	207	1071	0	492	0	981	0	195	147	135	153	579	141	615	954	852	0	156	381	279	165	435	0	198	0	639	624	174	162	711	255	243	246	165	1074	180	93	165	366	879	822	123	0	177	402	0	0	0	1287	0	0	0	249	801	417	483	429	1266	570	660	366	246	159	0	474	0	0	0	354	135
SRR10244996	1158	240	528	483	207	1230	1521	0	354	243	684	144	759	240	0	231	228	450	549	120	528	864	792	1305	417	96	279	87	693	471	147	528	252	354	153	519	366	471	123	882	354	255	420	168	564	1065	561	75	222	1164	204	171	249	132	345	195	441	537	351	681	207	1383	420	696	1242	231	315	798	411	336	255	0	183	336	657	207	1380	171	354	114	447	774	237	87	216	282	354	1299	276	144	0	0	204	456	201	135	246	435	150	447	690	153	225	729	0	114	180	177	273	294	1641	669	345	165	318	264	405	102	738	549	276	1287	168	0	177	492	0	0	720	240	210	768	1953	423	561	267	171	471	1248	363	267	441	1188	636	303	237	1392	150	195	279	771	267	225	234	1245	1395	672	174	141	741	297	198	567	300	708	249	237	528	879	135	786	243	114	273	189	381	2655	1722	1308	834	519	1023	240	237	126	414	450	462	288	0	0	0	954	789	198	246	324	144	561	294	288	339	264	447	162	414	405	267	855	216	180	165	552	450	147	375	159	162	2115	345	735	1182	135	321	225	255	258	249	375	273	1050	228	246	234	204	591	0	108	171	144	117	492	669	222	327	1059	507	582	198	357	171	1032	228	564	429	282	540	1056	960	294	1248	447	648	372	519	258	435	102	195	0	252	219	237	258	270	279	420	876	300	555	459	219	675	348	105	441	0	537	627	156	1326	630	804	546	1023	450	261	966	198	375	180	0	243	186	0	213	543	132	504	186	183	204	570	435	282	141	156	363	510	198	567	249	264	456	153	744	246	1146	240	525	117	585	195	222	492	135	216	654	294	615	963	1257	0	414	405	147	165	1245	207	198	90	642	396	198	534	312	273	156	180	177	582	195	216	150	507	315	678	465	444	357	285	0	216	153	963	522	180	0	558	630	288	1161	471	1233	204	660	282	873	516	822	267	489	63	453	351	207
